"date","area_name","value"
"2020-05-16","Wales",166
"2020-05-16","Scotland",103
"2020-05-16","England",1781
"2020-05-17","Scotland",93
"2020-05-17","England",1593
"2020-05-17","Northern Ireland",34
"2020-05-17","Wales",117
"2020-05-18","Northern Ireland",45
"2020-05-18","Wales",169
"2020-05-18","Scotland",141
"2020-05-18","England",2226
"2020-05-19","Scotland",182
"2020-05-19","England",2602
"2020-05-19","Wales",212
"2020-05-19","Northern Ireland",67
"2020-05-20","Wales",166
"2020-05-20","Northern Ireland",73
"2020-05-20","England",2359
"2020-05-20","Scotland",121
"2020-05-21","England",2277
"2020-05-21","Scotland",111
"2020-05-21","Northern Ireland",47
"2020-05-21","Wales",132
"2020-05-22","Northern Ireland",32
"2020-05-22","Wales",136
"2020-05-22","Scotland",91
"2020-05-22","England",1798
"2020-05-23","England",1309
"2020-05-23","Scotland",50
"2020-05-23","Wales",122
"2020-05-23","Northern Ireland",51
"2020-05-24","Northern Ireland",31
"2020-05-24","Wales",83
"2020-05-24","Scotland",53
"2020-05-24","England",1206
"2020-05-25","Scotland",96
"2020-05-25","England",1389
"2020-05-25","Wales",106
"2020-05-25","Northern Ireland",34
"2020-05-26","Wales",102
"2020-05-26","Northern Ireland",29
"2020-05-26","England",1461
"2020-05-26","Scotland",478
"2020-05-27","England",1616
"2020-05-27","Scotland",66
"2020-05-27","Northern Ireland",25
"2020-05-27","Wales",118
"2020-05-28","Northern Ireland",25
"2020-05-28","Wales",102
"2020-05-28","Scotland",55
"2020-05-28","England",1575
"2020-05-29","England",1374
"2020-05-29","Scotland",30
"2020-05-29","Wales",106
"2020-05-29","Northern Ireland",21
"2020-05-30","Wales",70
"2020-05-30","Northern Ireland",12
"2020-05-30","England",1010
"2020-05-30","Scotland",40
"2020-05-31","England",984
"2020-05-31","Scotland",23
"2020-05-31","Wales",46
"2020-05-31","Northern Ireland",27
"2020-06-01","Wales",64
"2020-06-01","Northern Ireland",18
"2020-06-01","England",1319
"2020-06-01","Scotland",38
"2020-06-02","England",1365
"2020-06-02","Scotland",46
"2020-06-02","Northern Ireland",10
"2020-06-02","Wales",71
"2020-06-03","Northern Ireland",10
"2020-06-03","Wales",74
"2020-06-03","England",1251
"2020-06-03","Scotland",34
"2020-06-04","Scotland",35
"2020-06-04","England",1147
"2020-06-04","Northern Ireland",8
"2020-06-04","Wales",59
"2020-06-05","Wales",55
"2020-06-05","Northern Ireland",24
"2020-06-05","England",1020
"2020-06-05","Scotland",24
"2020-06-06","England",723
"2020-06-06","Scotland",22
"2020-06-06","Wales",51
"2020-06-06","Northern Ireland",8
"2020-06-07","Wales",34
"2020-06-07","Northern Ireland",3
"2020-06-07","England",668
"2020-06-07","Scotland",17
"2020-06-08","Scotland",18
"2020-06-08","England",990
"2020-06-08","Wales",74
"2020-06-08","Northern Ireland",17
"2020-06-09","Wales",62
"2020-06-09","Northern Ireland",10
"2020-06-09","England",1066
"2020-06-09","Scotland",27
"2020-06-10","England",1086
"2020-06-10","Scotland",29
"2020-06-10","Northern Ireland",14
"2020-06-10","Wales",67
"2020-06-11","Northern Ireland",10
"2020-06-11","Wales",66
"2020-06-11","England",915
"2020-06-11","Scotland",22
"2020-06-12","England",938
"2020-06-12","Scotland",30
"2020-06-12","Northern Ireland",10
"2020-06-12","Wales",75
"2020-06-13","Wales",66
"2020-06-13","Northern Ireland",13
"2020-06-13","Scotland",22
"2020-06-13","England",785
"2020-06-14","England",752
"2020-06-14","Scotland",13
"2020-06-14","Northern Ireland",7
"2020-06-14","Wales",54
"2020-06-15","Wales",66
"2020-06-15","Northern Ireland",14
"2020-06-15","Scotland",21
"2020-06-15","England",944
"2020-06-16","England",996
"2020-06-16","Scotland",17
"2020-06-16","Wales",82
"2020-06-16","Northern Ireland",8
"2020-06-17","Wales",64
"2020-06-17","Northern Ireland",6
"2020-06-17","Scotland",33
"2020-06-17","England",914
"2020-06-18","Scotland",14
"2020-06-18","England",938
"2020-06-18","Wales",62
"2020-06-18","Northern Ireland",8
"2020-06-19","Northern Ireland",11
"2020-06-19","Wales",140
"2020-06-19","England",818
"2020-06-19","Scotland",24
"2020-06-20","England",626
"2020-06-20","Scotland",6
"2020-06-20","Wales",47
"2020-06-20","Northern Ireland",4
"2020-06-21","Northern Ireland",1
"2020-06-21","Wales",76
"2020-06-21","Scotland",9
"2020-06-21","England",550
"2020-06-22","Scotland",10
"2020-06-22","England",821
"2020-06-22","Northern Ireland",2
"2020-06-22","Wales",66
"2020-06-23","Wales",131
"2020-06-23","Northern Ireland",5
"2020-06-23","Scotland",20
"2020-06-23","England",727
"2020-06-24","England",732
"2020-06-24","Scotland",8
"2020-06-24","Wales",37
"2020-06-24","Northern Ireland",0
"2020-06-25","Northern Ireland",4
"2020-06-25","Wales",60
"2020-06-25","Scotland",19
"2020-06-25","England",643
"2020-06-26","Scotland",6
"2020-06-26","England",640
"2020-06-26","Wales",19
"2020-06-26","Northern Ireland",1
"2020-06-27","Northern Ireland",3
"2020-06-27","Wales",140
"2020-06-27","England",506
"2020-06-27","Scotland",4
"2020-06-28","England",413
"2020-06-28","Scotland",3
"2020-06-28","Wales",28
"2020-06-28","Northern Ireland",5
"2020-06-29","Northern Ireland",1
"2020-06-29","Wales",43
"2020-06-29","Scotland",14
"2020-06-29","England",666
"2020-06-30","England",578
"2020-06-30","Scotland",8
"2020-06-30","Northern Ireland",2
"2020-06-30","Wales",35
"2020-07-01","Wales",27
"2020-07-01","Northern Ireland",7
"2020-07-01","England",607
"2020-07-01","Scotland",11
"2020-07-02","Scotland",13
"2020-07-02","England",561
"2020-07-02","Northern Ireland",4
"2020-07-02","Wales",28
"2020-07-03","Northern Ireland",6
"2020-07-03","Wales",19
"2020-07-03","Scotland",7
"2020-07-03","England",536
"2020-07-04","Scotland",5
"2020-07-04","England",385
"2020-07-04","Northern Ireland",1
"2020-07-04","Wales",8
"2020-07-05","Northern Ireland",0
"2020-07-05","Wales",12
"2020-07-05","England",544
"2020-07-05","Scotland",2
"2020-07-06","England",664
"2020-07-06","Scotland",8
"2020-07-06","Northern Ireland",7
"2020-07-06","Wales",35
"2020-07-07","Wales",29
"2020-07-07","Northern Ireland",4
"2020-07-07","England",565
"2020-07-07","Scotland",11
"2020-07-08","England",682
"2020-07-08","Scotland",10
"2020-07-08","Wales",14
"2020-07-08","Northern Ireland",7
"2020-07-09","Wales",22
"2020-07-09","Northern Ireland",4
"2020-07-09","England",688
"2020-07-09","Scotland",8
"2020-07-10","England",524
"2020-07-10","Scotland",12
"2020-07-10","Northern Ireland",3
"2020-07-10","Wales",29
"2020-07-11","Wales",12
"2020-07-11","Northern Ireland",5
"2020-07-11","Scotland",9
"2020-07-11","England",432
"2020-07-12","England",351
"2020-07-12","Scotland",2
"2020-07-12","Northern Ireland",3
"2020-07-12","Wales",10
"2020-07-13","Wales",24
"2020-07-13","Northern Ireland",3
"2020-07-13","Scotland",19
"2020-07-13","England",694
"2020-07-14","England",661
"2020-07-14","Scotland",10
"2020-07-14","Wales",23
"2020-07-14","Northern Ireland",11
"2020-07-15","Northern Ireland",17
"2020-07-15","Wales",18
"2020-07-15","Scotland",16
"2020-07-15","England",726
"2020-07-16","England",644
"2020-07-16","Scotland",22
"2020-07-16","Northern Ireland",21
"2020-07-16","Wales",25
"2020-07-17","Northern Ireland",9
"2020-07-17","Wales",17
"2020-07-17","England",548
"2020-07-17","Scotland",8
"2020-07-18","England",473
"2020-07-18","Scotland",14
"2020-07-18","Northern Ireland",7
"2020-07-18","Wales",11
"2020-07-19","Wales",10
"2020-07-19","Northern Ireland",2
"2020-07-19","Scotland",17
"2020-07-19","England",419
"2020-07-20","England",769
"2020-07-20","Scotland",14
"2020-07-20","Wales",43
"2020-07-20","Northern Ireland",4
"2020-07-21","Northern Ireland",11
"2020-07-21","Wales",61
"2020-07-21","Scotland",19
"2020-07-21","England",697
"2020-07-22","England",764
"2020-07-22","Scotland",18
"2020-07-22","Northern Ireland",9
"2020-07-22","Wales",25
"2020-07-23","Wales",31
"2020-07-23","Northern Ireland",13
"2020-07-23","Scotland",23
"2020-07-23","England",741
"2020-07-24","Scotland",11
"2020-07-24","England",720
"2020-07-24","Northern Ireland",13
"2020-07-24","Wales",30
"2020-07-25","Wales",24
"2020-07-25","Northern Ireland",4
"2020-07-25","Scotland",3
"2020-07-25","England",499
"2020-07-26","Scotland",7
"2020-07-26","England",518
"2020-07-26","Wales",35
"2020-07-26","Northern Ireland",3
"2020-07-27","Northern Ireland",9
"2020-07-27","Wales",23
"2020-07-27","Scotland",13
"2020-07-27","England",824
"2020-07-28","England",796
"2020-07-28","Scotland",24
"2020-07-28","Northern Ireland",9
"2020-07-28","Wales",27
"2020-07-29","Wales",27
"2020-07-29","Northern Ireland",11
"2020-07-29","England",994
"2020-07-29","Scotland",30
"2020-07-30","England",879
"2020-07-30","Scotland",28
"2020-07-30","Wales",30
"2020-07-30","Northern Ireland",9
"2020-07-31","Northern Ireland",16
"2020-07-31","Wales",16
"2020-07-31","Scotland",22
"2020-07-31","England",644
"2020-08-01","England",508
"2020-08-01","Scotland",23
"2020-08-01","Wales",16
"2020-08-01","Northern Ireland",12
"2020-08-02","Northern Ireland",13
"2020-08-02","Wales",14
"2020-08-02","Scotland",19
"2020-08-02","England",518
"2020-08-03","Scotland",60
"2020-08-03","England",963
"2020-08-03","Northern Ireland",15
"2020-08-03","Wales",22
"2020-08-04","Wales",24
"2020-08-04","Northern Ireland",20
"2020-08-04","England",965
"2020-08-04","Scotland",57
"2020-08-05","England",973
"2020-08-05","Scotland",65
"2020-08-05","Wales",22
"2020-08-05","Northern Ireland",31
"2020-08-06","Northern Ireland",15
"2020-08-06","Wales",22
"2020-08-06","England",1005
"2020-08-06","Scotland",63
"2020-08-07","Scotland",46
"2020-08-07","England",892
"2020-08-07","Northern Ireland",19
"2020-08-07","Wales",16
"2020-08-08","Northern Ireland",30
"2020-08-08","Wales",5
"2020-08-08","England",648
"2020-08-08","Scotland",27
"2020-08-09","Scotland",26
"2020-08-09","England",569
"2020-08-09","Northern Ireland",24
"2020-08-09","Wales",8
"2020-08-10","Wales",19
"2020-08-10","Northern Ireland",47
"2020-08-10","England",1375
"2020-08-10","Scotland",58
"2020-08-11","Scotland",65
"2020-08-11","England",1247
"2020-08-11","Wales",27
"2020-08-11","Northern Ireland",39
"2020-08-12","Wales",24
"2020-08-12","Northern Ireland",44
"2020-08-12","England",1126
"2020-08-12","Scotland",48
"2020-08-13","Scotland",53
"2020-08-13","England",1036
"2020-08-13","Wales",17
"2020-08-13","Northern Ireland",50
"2020-08-14","Northern Ireland",58
"2020-08-14","Wales",17
"2020-08-14","Scotland",51
"2020-08-14","England",1059
"2020-08-15","England",656
"2020-08-15","Scotland",21
"2020-08-15","Northern Ireland",27
"2020-08-15","Wales",10
"2020-08-16","Wales",18
"2020-08-16","Northern Ireland",20
"2020-08-16","England",534
"2020-08-16","Scotland",30
"2020-08-17","Scotland",72
"2020-08-17","England",1159
"2020-08-17","Wales",19
"2020-08-17","Northern Ireland",48
"2020-08-18","Northern Ireland",45
"2020-08-18","Wales",38
"2020-08-18","Scotland",78
"2020-08-18","England",955
"2020-08-19","Scotland",91
"2020-08-19","England",1109
"2020-08-19","Northern Ireland",47
"2020-08-19","Wales",35
"2020-08-20","Wales",31
"2020-08-20","Northern Ireland",72
"2020-08-20","Scotland",141
"2020-08-20","England",1254
"2020-08-21","England",1031
"2020-08-21","Scotland",90
"2020-08-21","Northern Ireland",74
"2020-08-21","Wales",23
"2020-08-22","Wales",19
"2020-08-22","Northern Ireland",44
"2020-08-22","Scotland",47
"2020-08-22","England",732
"2020-08-23","Scotland",65
"2020-08-23","England",704
"2020-08-23","Wales",11
"2020-08-23","Northern Ireland",51
"2020-08-24","Wales",36
"2020-08-24","Northern Ireland",48
"2020-08-24","Scotland",60
"2020-08-24","England",1156
"2020-08-25","England",1085
"2020-08-25","Scotland",71
"2020-08-25","Wales",50
"2020-08-25","Northern Ireland",64
"2020-08-26","Northern Ireland",65
"2020-08-26","Wales",44
"2020-08-26","Scotland",98
"2020-08-26","England",1181
"2020-08-27","Scotland",100
"2020-08-27","England",1356
"2020-08-27","Wales",50
"2020-08-27","Northern Ireland",85
"2020-08-28","Wales",52
"2020-08-28","Northern Ireland",81
"2020-08-28","Scotland",104
"2020-08-28","England",1395
"2020-08-29","England",1051
"2020-08-29","Scotland",95
"2020-08-29","Wales",44
"2020-08-29","Northern Ireland",40
"2020-08-30","Northern Ireland",36
"2020-08-30","Wales",46
"2020-08-30","England",987
"2020-08-30","Scotland",102
"2020-08-31","Scotland",144
"2020-08-31","England",1279
"2020-08-31","Wales",44
"2020-08-31","Northern Ireland",46
"2020-09-01","Northern Ireland",69
"2020-09-01","Wales",58
"2020-09-01","England",1962
"2020-09-01","Scotland",199
"2020-09-02","Scotland",192
"2020-09-02","England",2696
"2020-09-02","Northern Ireland",94
"2020-09-02","Wales",95
"2020-09-03","Wales",126
"2020-09-03","Northern Ireland",109
"2020-09-03","England",2716
"2020-09-03","Scotland",201
"2020-09-04","Scotland",171
"2020-09-04","England",2637
"2020-09-04","Wales",149
"2020-09-04","Northern Ireland",135
"2020-09-05","Northern Ireland",87
"2020-09-05","Wales",128
"2020-09-05","England",2200
"2020-09-05","Scotland",136
"2020-09-06","England",2079
"2020-09-06","Scotland",153
"2020-09-06","Wales",131
"2020-09-06","Northern Ireland",102
"2020-09-07","Wales",159
"2020-09-07","Northern Ireland",74
"2020-09-07","England",3530
"2020-09-07","Scotland",168
"2020-09-08","Scotland",104
"2020-09-08","England",3071
"2020-09-08","Northern Ireland",52
"2020-09-08","Wales",143
"2020-09-09","Northern Ireland",92
"2020-09-09","Wales",158
"2020-09-09","Scotland",222
"2020-09-09","England",2893
"2020-09-10","England",3143
"2020-09-10","Scotland",216
"2020-09-10","Wales",186
"2020-09-10","Northern Ireland",83
"2020-09-11","Wales",145
"2020-09-11","Northern Ireland",76
"2020-09-11","Scotland",210
"2020-09-11","England",2893
"2020-09-12","Scotland",208
"2020-09-12","England",2224
"2020-09-12","Northern Ireland",98
"2020-09-12","Wales",140
"2020-09-13","Northern Ireland",100
"2020-09-13","Wales",164
"2020-09-13","England",1722
"2020-09-13","Scotland",168
"2020-09-14","England",2941
"2020-09-14","Scotland",177
"2020-09-14","Northern Ireland",118
"2020-09-14","Wales",192
